datetime_hour;Ajatempel (UTC);Tarbimine;consumption_hourly;elering_forecast;our_day;src
2025-09-23 12:00:00;1758628800;931.1;975.8456014865934;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 13:00:00;1758632400;939.3;922.0602971091508;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 14:00:00;1758636000;949.7;913.969911509505;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 15:00:00;1758639600;953.0;934.308269038786;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 16:00:00;1758643200;957.0;922.9266495470348;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 17:00:00;1758646800;958.2;907.0143409573252;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 18:00:00;1758650400;912.4;904.4973603248404;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 19:00:00;1758654000;863.2;863.1154695564712;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 20:00:00;1758657600;779.1;785.4518101960069;;2025-09-22;forecast_consumption_hourly_next7_tallinn_20250923_20250929.csv
2025-09-23 21:00:00;1758661200;733.3;811.8948662497111;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-23 22:00:00;1758664800;705.3;781.2202758536883;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-23 23:00:00;1758668400;704.7;758.9228566544355;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 00:00:00;1758672000;704.5;753.461088506245;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 01:00:00;1758675600;710.9;758.6733478800131;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 02:00:00;1758679200;715.5;777.9332940666424;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 03:00:00;1758682800;830.3;898.3325496086006;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 04:00:00;1758686400;958.5;1033.549317619911;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 05:00:00;1758690000;960.8;1094.8754663349278;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 06:00:00;1758693600;849.8;1079.0717669089406;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 07:00:00;1758697200;725.2;1065.0975243478106;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 08:00:00;1758700800;765.6;1099.5361306825569;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 09:00:00;1758704400;748.5;1082.6233581535494;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 10:00:00;1758708000;706.7;1105.0083354536882;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 11:00:00;1758711600;660.0;1048.2141674839834;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 12:00:00;1758715200;684.8;1001.9838475223122;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 13:00:00;1758718800;698.3;964.7463750958036;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 14:00:00;1758722400;775.8;971.6606887581352;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 15:00:00;1758726000;883.9;988.3997247223538;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 16:00:00;1758729600;937.1;1011.8782712067576;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 17:00:00;1758733200;940.8;1010.6655376212502;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 18:00:00;1758736800;919.1;999.1689681273205;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 19:00:00;1758740400;866.0;938.5639725327748;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 20:00:00;1758744000;796.6;858.3082686085884;;2025-09-23;forecast_consumption_hourly_next7_tallinn_20250924_20250930.csv
2025-09-24 21:00:00;1758747600;740.7;794.0365540499802;697.15;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-24 22:00:00;1758751200;700.4;753.444094418404;663.4;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-24 23:00:00;1758754800;713.2;738.5537002954017;654.5;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 00:00:00;1758758400;724.6;739.0014920204716;658.575;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 01:00:00;1758762000;737.7;746.4293180191816;674.9;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 02:00:00;1758765600;749.8;766.9613319634481;690.6;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 03:00:00;1758769200;805.2;870.2006013695774;747.35;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 04:00:00;1758772800;1002.1;1000.2195573341336;855.125;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 05:00:00;1758776400;991.8;1095.9881716830826;933.75;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 06:00:00;1758780000;937.4;1097.9283661407208;964.8;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 07:00:00;1758783600;847.2;1078.3535647598765;988.325;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 08:00:00;1758787200;862.7;1082.4650551675368;883.85;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 09:00:00;1758790800;801.1;1067.3580360748413;870.8;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 10:00:00;1758794400;874.3;1076.4293671613343;918.975;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 11:00:00;1758798000;898.4;1055.2428083166983;984.05;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 12:00:00;1758801600;869.7;1024.151390722123;955.15;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 13:00:00;1758805200;854.8;1000.4561884290488;958.3;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
2025-09-25 14:00:00;1758808800;898.8;999.7606172087328;964.175;2025-09-24;forecast_consumption_hourly_next7_tallinn_20250925_20251001.csv
